timestamp,host_id,n_vms,cpu_used,ram_used,cpu_capacity,ram_capacity,power_consumed
2025-01-01 00:00:00,0,12,29.3,57.58,32,128,566.25
2025-01-01 00:00:00,1,10,17.82,45.7,32,128,422.75
2025-01-01 00:00:00,2,12,30.72,43.91,32,128,584.0
2025-01-01 00:00:00,3,21,46.81,68.98,32,128,785.12
2025-01-01 00:00:00,4,13,38.79,47.4,32,128,684.88
2025-01-01 00:00:00,5,16,43.59,53.52,32,128,744.88
2025-01-01 00:00:00,6,11,26.5,43.82,32,128,531.25
2025-01-01 00:00:00,7,12,33.53,41.51,32,128,619.12
2025-01-01 00:00:00,8,13,28.57,66.48,32,128,557.12
2025-01-01 00:00:00,9,15,33.07,56.13,32,128,613.38
2025-01-01 01:00:00,0,11,24.37,42.42,32,128,504.62
2025-01-01 01:00:00,1,10,26.65,43.06,32,128,533.12
2025-01-01 01:00:00,2,11,29.45,53.54,32,128,568.12
2025-01-01 01:00:00,3,24,56.4,89.02,32,128,905.0
2025-01-01 01:00:00,4,11,28.1,39.56,32,128,551.25
2025-01-01 01:00:00,5,15,40.17,40.29,32,128,702.12
2025-01-01 01:00:00,6,12,28.66,44.78,32,128,558.25
2025-01-01 01:00:00,7,13,35.17,53.83,32,128,639.62
2025-01-01 01:00:00,8,14,36.4,45.28,32,128,655.0
2025-01-01 01:00:00,9,17,40.66,66.08,32,128,708.25
2025-01-01 02:00:00,0,12,34.27,45.08,32,128,628.38
2025-01-01 02:00:00,1,11,27.29,39.75,32,128,541.12
2025-01-01 02:00:00,2,10,21.45,29.78,32,128,468.13
2025-01-01 02:00:00,3,26,60.52,101.74,32,128,956.5
2025-01-01 02:00:00,4,10,26.74,43.04,32,128,534.25
2025-01-01 02:00:00,5,16,37.29,71.49,32,128,666.12
2025-01-01 02:00:00,6,12,30.86,39.05,32,128,585.75
2025-01-01 02:00:00,7,12,30.87,63.22,32,128,585.88
2025-01-01 02:00:00,8,13,36.8,52.83,32,128,660.0
2025-01-01 02:00:00,9,19,49.85,71.53,32,128,823.12
2025-01-01 03:00:00,0,13,36.12,40.87,32,128,651.5
2025-01-01 03:00:00,1,10,23.06,38.74,32,128,488.25
2025-01-01 03:00:00,2,12,32.49,48.96,32,128,606.12
2025-01-01 03:00:00,3,22,54.05,94.62,32,128,875.62
2025-01-01 03:00:00,4,12,32.21,48.13,32,128,602.62
2025-01-01 03:00:00,5,16,40.33,60.46,32,128,704.12
2025-01-01 03:00:00,6,10,27.76,40.41,32,128,547.0
2025-01-01 03:00:00,7,12,31.74,40.58,32,128,596.75
2025-01-01 03:00:00,8,14,34.96,56.48,32,128,637.0
2025-01-01 03:00:00,9,16,35.88,66.89,32,128,648.5
2025-01-01 04:00:00,0,13,37.78,47.14,32,128,672.25
2025-01-01 04:00:00,1,9,26.58,35.37,32,128,532.25
2025-01-01 04:00:00,2,9,18.52,41.29,32,128,431.5
2025-01-01 04:00:00,3,25,53.55,102.88,32,128,869.38
2025-01-01 04:00:00,4,9,24.11,22.67,32,128,501.38
2025-01-01 04:00:00,5,15,36.01,67.49,32,128,650.12
2025-01-01 04:00:00,6,11,24.37,53.95,32,128,504.63
2025-01-01 04:00:00,7,13,31.37,57.32,32,128,592.12
2025-01-01 04:00:00,8,12,32.21,54.13,32,128,602.62
2025-01-01 04:00:00,9,18,44.28,85.19,32,128,753.5
2025-01-01 05:00:00,0,10,27.16,50.32,32,128,539.5
2025-01-01 05:00:00,1,10,21.92,43.7,32,128,474.0
2025-01-01 05:00:00,2,12,29.6,54.82,32,128,570.0
